platform,post_type,post_length,views,likes,comments,shares,engagement_rate,length category,total_interactions
Twitter,Text,77,179347,5553,643,174,0.0355177393544358,Medium,6370
Twitter,Text,106,59943,5956,1095,411,0.1244849273476469,Long,7462
Facebook,Text,44,143586,10218,1610,872,0.0884487345562937,Medium,12700
Twitter,Image,45,171488,8573,1243,780,0.0617885799589475,Medium,10596
Facebook,Image,13,4511,418,25,59,0.1112835291509643,Short,502
Facebook,Video,12,152714,12453,950,317,0.0898411409562973,Short,13720
Instagram,Video,48,87151,4236,483,561,0.0605845027595782,Medium,5280
Facebook,Video,62,231197,3739,734,343,0.0208307201218008,Medium,4816
Instagram,Video,108,187966,16568,1659,1525,0.1050828341295766,Long,19752
Facebook,Video,71,27225,2146,310,132,0.0950596877869605,Medium,2588
Facebook,Image,17,154918,12574,2493,1303,0.1056688054325514,Short,16370
Instagram,Image,23,34152,2630,235,273,0.0918833450456781,Short,3138
Instagram,Text,102,71107,2475,185,110,0.038955377107739,Long,2770
Facebook,Text,100,184426,16099,2124,1738,0.1082331124678732,Long,19961
Twitter,Text,53,126387,1289,171,70,0.0121056754254788,Medium,1530
Instagram,Text,84,162260,5087,957,557,0.0406816220880069,Long,6601
Twitter,Image,104,62910,892,48,88,0.0163408043236369,Long,1028
Twitter,Image,86,44530,888,98,100,0.0243880529979788,Long,1086
Twitter,Image,82,80753,4676,452,105,0.0648025460354414,Long,5233
Instagram,Video,34,46999,627,85,22,0.015617353560714,Short,734
Twitter,Video,70,8609,226,11,29,0.0308978975490765,Medium,266
Instagram,Text,81,194841,6029,944,418,0.0379334944903793,Long,7391
Twitter,Video,95,180469,12448,1527,1602,0.0863139929849447,Long,15577
Facebook,Image,63,244649,12769,1980,359,0.0617537778613442,Medium,15108
Facebook,Text,57,52322,2681,314,321,0.063376782233095,Medium,3316
Instagram,Text,56,272295,21554,2610,665,0.0911841936135441,Medium,24829
Facebook,Video,85,9406,480,88,38,0.0644269615139272,Long,606
Facebook,Text,35,65678,2716,221,385,0.0505801029263984,Short,3322
Twitter,Video,19,49062,4740,391,142,0.107476254535078,Short,5273
Instagram,Video,24,216501,2326,311,152,0.0128821575881866,Short,2789
Twitter,Text,9,166028,6223,927,543,0.0463355578577107,Short,7693
Twitter,Video,11,113377,7351,758,1006,0.0803954946770509,Short,9115
Twitter,Video,22,55830,4491,574,284,0.0958087049973132,Short,5349
Twitter,Video,60,15133,1263,106,157,0.100839225533602,Medium,1526
Twitter,Video,79,14209,201,14,22,0.0166795692870715,Medium,237
Twitter,Text,100,111828,8255,707,494,0.0845584290159888,Long,9456
Twitter,Image,118,76681,5737,1075,368,0.0936346683011437,Long,7180
Instagram,Image,95,248733,7279,1239,326,0.0355561988155974,Long,8844
Facebook,Video,94,57345,1155,82,127,0.0237858575289911,Long,1364
Twitter,Video,105,44585,3454,196,321,0.0890658293147919,Long,3971
Twitter,Video,49,36638,1189,76,47,0.0358098149462306,Medium,1312
Twitter,Image,32,22645,229,21,23,0.0120556414219474,Short,273
Twitter,Video,54,20408,614,105,52,0.0377793022344178,Medium,771
Twitter,Text,6,14521,185,18,5,0.0143240823634735,Short,208
Twitter,Text,88,89414,2899,225,417,0.0396022994161988,Long,3541
Facebook,Text,72,131432,5277,577,678,0.0496987035120822,Medium,6532
Facebook,Image,81,126520,4355,298,127,0.0377805880493202,Long,4780
Twitter,Video,28,40221,3732,449,526,0.1170284179906019,Short,4707
Facebook,Video,116,103131,3189,482,443,0.0398910124017026,Long,4114
Instagram,Video,106,157158,8184,861,208,0.0588770536657376,Long,9253
Twitter,Image,108,18923,1819,138,84,0.1078581620250488,Long,2041
Instagram,Image,52,86761,7732,912,860,0.1095423058747594,Medium,9504
Instagram,Image,49,274346,10379,1706,1468,0.0494011212119003,Medium,13553
Twitter,Image,97,97675,3846,236,488,0.046787816739186,Long,4570
Facebook,Text,62,231582,14682,890,831,0.0708302026927826,Medium,16403
Instagram,Image,40,173278,16046,1567,390,0.1038966285391105,Medium,18003
Twitter,Image,6,152957,1667,187,135,0.0130036546218871,Short,1989
Instagram,Image,109,115443,5238,431,167,0.0505530868047434,Long,5836
Instagram,Video,22,16218,1402,75,72,0.0955111604390183,Short,1549
Instagram,Video,53,188761,8860,734,914,0.0556682789347375,Medium,10508
Instagram,Video,12,102148,7641,881,644,0.0897325449348004,Short,9166
Facebook,Text,62,9716,702,43,48,0.0816179497735693,Medium,793
Instagram,Text,19,261448,7448,1172,1049,0.0369824974755974,Short,9669
Instagram,Image,109,283232,14292,1898,644,0.0594353745339509,Long,16834
Instagram,Video,21,36001,2194,252,182,0.0729979722785478,Short,2628
Facebook,Text,27,239194,17794,2274,1682,0.0909303745077217,Short,21750
Instagram,Video,70,271430,22804,3383,1410,0.1016726227756696,Medium,27597
Instagram,Text,74,140811,11038,2198,1232,0.1027476546576616,Medium,14468
Facebook,Text,97,33158,416,69,55,0.0162856625851981,Long,540
Facebook,Image,31,103393,7274,953,657,0.0859245790333968,Short,8884
Facebook,Image,41,8605,471,77,57,0.0703079604880883,Medium,605
Instagram,Text,53,61492,3790,459,105,0.0708059584986665,Medium,4354
Facebook,Image,68,239198,10421,1007,416,0.0495154641761218,Medium,11844
Facebook,Text,38,6321,469,41,37,0.0865369403575383,Short,547
Instagram,Text,22,180613,12760,1402,1782,0.0882771450560037,Short,15944
Facebook,Video,68,185773,11546,581,1028,0.0708122278264333,Medium,13155
Instagram,Image,110,235592,20624,1578,1571,0.1009075011036028,Long,23773
Twitter,Image,78,14170,271,18,26,0.0222300635144671,Medium,315
Facebook,Image,106,59045,2190,424,79,0.045609281056821,Long,2693
Twitter,Video,48,142005,7748,462,813,0.0635400161966128,Medium,9023
Instagram,Video,21,224300,21594,2702,695,0.1114177440927329,Short,24991
Facebook,Video,63,231082,3807,715,361,0.0211310270812958,Medium,4883
Instagram,Image,17,257985,10406,1468,1174,0.0505765839099172,Short,13048
Twitter,Image,56,112540,10503,1305,771,0.1117735916118713,Medium,12579
Instagram,Image,64,159886,14520,2344,2009,0.1180403537520483,Medium,18873
Facebook,Video,116,104101,9147,942,363,0.1004024937320486,Long,10452
Facebook,Video,46,3818,144,11,6,0.0421686746987951,Medium,161
Twitter,Text,95,10434,899,159,78,0.1088748322790876,Long,1136
Instagram,Video,68,192225,10664,623,1504,0.0665418129795812,Medium,12791
Facebook,Text,70,33571,2208,377,156,0.0816478508236275,Medium,2741
Twitter,Image,38,42694,1344,88,188,0.037944441841945,Short,1620
Facebook,Video,99,97426,7170,1031,789,0.0922751626875782,Long,8990
Facebook,Image,91,121792,4809,584,585,0.049083683657383,Long,5978
Instagram,Image,75,50485,2067,412,293,0.0549073982371001,Medium,2772
Facebook,Image,106,146141,9837,1064,928,0.0809423775668703,Long,11829
Instagram,Image,68,62198,1964,380,203,0.0409498697707321,Medium,2547
Facebook,Video,37,101316,3059,338,291,0.0364009633226736,Short,3688
Twitter,Image,16,171734,7423,1130,905,0.0550735439691616,Short,9458
Facebook,Text,113,91970,7359,1078,408,0.0961726649994563,Long,8845
Instagram,Video,80,77928,2355,148,288,0.035815111384868,Long,2791
Instagram,Image,23,57290,4632,748,522,0.1030197242101588,Short,5902
Twitter,Video,13,124664,9051,735,889,0.0856301739074632,Short,10675
Facebook,Text,78,146004,10383,1124,260,0.0805936823648667,Medium,11767
Facebook,Image,21,14766,778,130,93,0.0677908709196803,Short,1001
Twitter,Text,54,90247,6960,1333,259,0.0947621527585404,Medium,8552
Facebook,Image,108,16292,182,24,26,0.0142401178492511,Long,232
Facebook,Text,43,220295,8262,1056,252,0.0434417485644249,Medium,9570
Instagram,Image,45,183703,13065,1642,1484,0.0881368295564035,Medium,16191
Facebook,Video,14,225507,22292,3845,1490,0.1225106094267583,Short,27627
Facebook,Image,16,249762,2554,508,295,0.0134407956374468,Short,3357
Twitter,Video,83,74944,4189,607,366,0.068878095644748,Long,5162
Twitter,Image,99,108446,10101,1078,1028,0.11256293454807,Long,12207
Instagram,Image,19,39533,3467,287,103,0.097564060405231,Short,3857
Facebook,Text,32,83773,1012,80,147,0.0147899681281558,Short,1239
Facebook,Text,8,127433,7347,1310,150,0.0691108268658824,Short,8807
Facebook,Text,40,139850,1452,288,206,0.0139149088308902,Medium,1946
Instagram,Image,69,40059,3247,502,304,0.1011757657455253,Medium,4053
Instagram,Image,112,140938,5327,1030,285,0.0471271055357675,Long,6642
Twitter,Image,102,75965,5993,614,616,0.0950832620285657,Long,7223
Instagram,Video,51,65661,6239,899,670,0.1189138148977323,Medium,7808
Facebook,Video,85,46352,4535,574,521,0.121461857093545,Long,5630
Facebook,Image,43,113051,10227,1250,226,0.1035196504232602,Medium,11703
Instagram,Text,42,186808,5300,767,783,0.0366686651535266,Medium,6850
Facebook,Text,48,37075,1020,98,102,0.032906271072151,Medium,1220
Facebook,Text,55,234461,15549,2271,1074,0.0805848307394406,Medium,18894
Instagram,Image,101,96931,5715,862,538,0.0734027297768515,Long,7115
Instagram,Text,89,218023,2367,415,102,0.0132279621874756,Long,2884
Facebook,Image,30,231594,10480,1672,546,0.0548287088611967,Short,12698
Facebook,Video,114,27104,2482,243,77,0.103379574970484,Long,2802
Facebook,Text,40,68827,6253,735,839,0.1137199064320688,Medium,7827
Twitter,Video,73,71222,2019,137,106,0.0317598494847097,Medium,2262
Twitter,Text,101,134714,5978,529,694,0.0534539839957242,Long,7201
Twitter,Image,5,99013,5983,766,332,0.0715158615535333,Short,7081
Instagram,Image,57,225758,19584,1275,763,0.0957751220333277,Medium,21622
Twitter,Image,10,10769,623,84,21,0.06760144860247,Short,728
Instagram,Image,41,100369,9749,1058,1285,0.1204754456057149,Medium,12092
Instagram,Text,6,55375,4536,250,161,0.0893363431151241,Short,4947
Twitter,Video,73,165150,15817,1821,495,0.1097971541023312,Medium,18133
Twitter,Image,94,14268,1082,99,22,0.0843145500420521,Long,1203
Twitter,Text,45,143916,12806,768,866,0.1003363072903638,Medium,14440
Facebook,Video,55,77174,6543,615,932,0.1048280508979708,Medium,8090
Twitter,Image,51,193835,6366,599,879,0.04046740784688,Medium,7844
Facebook,Video,17,105677,3239,334,113,0.034879869791913,Short,3686
Instagram,Image,80,147305,12932,1357,279,0.0988968466786599,Long,14568
Facebook,Video,73,33496,590,67,69,0.0216742297587771,Medium,726
Twitter,Video,70,150878,7056,450,422,0.0525457654528824,Medium,7928
Instagram,Image,63,176398,14792,751,1900,0.0988843410923026,Medium,17443
Instagram,Text,72,83807,6972,1118,334,0.100516663285883,Medium,8424
Instagram,Video,63,175585,3948,397,331,0.0266309764501523,Medium,4676
Facebook,Image,95,185833,10015,1422,243,0.0628521306764675,Long,11680
Twitter,Video,118,21465,1141,109,155,0.0654553924994176,Long,1405
Instagram,Video,14,144322,5648,1116,243,0.0485511564418453,Short,7007
Instagram,Text,17,65503,6062,589,353,0.1069264003175427,Short,7004
Instagram,Video,112,243026,16715,2352,1376,0.0841185716754586,Long,20443
Facebook,Video,6,248863,24442,2028,1350,0.1117884137055327,Short,27820
Facebook,Image,94,24310,389,49,9,0.018387494858083,Long,447
Twitter,Image,19,132301,6018,823,143,0.0527887166385741,Short,6984
Facebook,Text,50,249501,21248,1645,3063,0.1040316471677468,Medium,25956
Instagram,Video,61,37206,1787,122,111,0.0542923184432618,Medium,2020
Twitter,Video,14,11764,394,77,25,0.0421625297517851,Short,496
Instagram,Video,26,191668,19128,3519,2677,0.1321242982657512,Short,25324
Instagram,Text,108,245269,21726,3237,2796,0.1131777762375188,Long,27759
Facebook,Video,93,146914,8694,1557,950,0.0762418830063846,Long,11201
Twitter,Image,83,136048,8238,529,869,0.0708279430789133,Long,9636
Facebook,Text,81,141498,1502,239,186,0.013618567046884,Long,1927
Facebook,Image,12,156959,15427,1432,647,0.1115323109856714,Short,17506
Twitter,Image,25,28710,2370,310,252,0.1021246952281435,Short,2932
Instagram,Text,89,142558,1896,312,62,0.0159233434812497,Long,2270
Instagram,Image,26,175330,4535,249,165,0.0282267723720983,Short,4949
Twitter,Video,114,114418,9598,1480,494,0.1011379328427345,Long,11572
Instagram,Text,101,252704,4502,518,505,0.0218635241230847,Long,5525
Twitter,Image,49,24623,2333,270,317,0.1185883117410551,Medium,2920
Twitter,Video,95,25806,2580,480,283,0.1295435170115477,Long,3343
Facebook,Video,44,140045,12573,2250,932,0.1124995537148773,Medium,15755
Twitter,Image,118,179287,13715,804,1190,0.0876192919732049,Long,15709
Facebook,Video,26,117162,6309,900,710,0.0675901742885918,Short,7919
Instagram,Text,34,165229,2878,332,287,0.0211645655423684,Short,3497
Instagram,Image,66,10521,796,53,70,0.0873491113012071,Medium,919
Instagram,Video,77,280035,12802,2274,650,0.0561572660560287,Medium,15726
Instagram,Video,49,87331,5355,325,536,0.0711774742073261,Medium,6216
Facebook,Image,39,25474,927,50,20,0.039137944570935,Short,997
Instagram,Image,86,162579,5169,411,479,0.0372680358471881,Long,6059
Twitter,Image,46,12687,497,47,62,0.047765429179475,Medium,606
Twitter,Image,9,100550,8370,494,362,0.0917553455992043,Short,9226
Twitter,Text,31,144081,6971,1019,242,0.0571345284943885,Short,8232
Facebook,Image,74,91762,3491,403,510,0.0479937228918288,Medium,4404
Instagram,Text,66,93484,4577,511,593,0.0607697573916392,Medium,5681
Instagram,Text,36,53296,687,49,40,0.0145601921344941,Short,776
Instagram,Image,12,45225,4077,471,192,0.1048092868988391,Short,4740
Facebook,Text,107,221710,13226,1435,838,0.0699066347931983,Long,15499
Twitter,Image,89,36828,715,76,54,0.0229444987509503,Long,845
Twitter,Image,22,169174,6082,503,770,0.0434759478406847,Short,7355
Instagram,Video,82,247463,24379,1564,1245,0.109866929601597,Long,27188
Twitter,Image,19,189414,12004,1069,1364,0.0762192868531365,Short,14437
Twitter,Video,110,35712,1293,194,182,0.0467349910394265,Long,1669
Facebook,Text,30,29823,1442,87,99,0.0545887402340475,Short,1628
Facebook,Video,57,139433,4637,497,108,0.0375951173681983,Medium,5242
Facebook,Text,48,94374,1213,154,154,0.0161167270646576,Medium,1521
Facebook,Image,36,83174,7134,1387,799,0.1120542477216437,Short,9320
Instagram,Text,107,290409,10548,1862,415,0.0441618544879807,Long,12825
Facebook,Text,32,93287,7972,1494,778,0.1098116565009058,Short,10244
Twitter,Image,43,44012,2335,403,297,0.0689584658729437,Medium,3035
Instagram,Text,111,278060,7357,1017,320,0.0312666331007696,Long,8694
Twitter,Image,36,127462,10473,1875,512,0.100892815113524,Short,12860
Twitter,Video,81,77045,3385,456,156,0.0518787721461483,Long,3997
Twitter,Image,83,178604,13162,1364,1970,0.0923607533985801,Long,16496
Facebook,Image,22,230710,19691,2084,981,0.0986346495600537,Short,22756
Facebook,Text,107,181731,17567,2368,960,0.1149776317744358,Long,20895
Instagram,Video,74,94860,1681,288,44,0.0212207463630613,Medium,2013
Instagram,Image,15,229551,2468,172,364,0.013086416526175,Short,3004
Facebook,Video,36,45634,2708,151,141,0.065740456677039,Short,3000
Twitter,Video,108,97479,3293,554,376,0.0433221514377455,Long,4223
Instagram,Text,24,79992,4177,614,97,0.0611061106110611,Short,4888
Facebook,Image,101,14369,237,41,28,0.0212958452223536,Long,306
Facebook,Text,44,22329,1231,241,144,0.072372251332348,Medium,1616
Facebook,Image,12,212826,4519,396,139,0.0237470985687838,Short,5054
Twitter,Video,119,88700,7581,599,272,0.0952874859075535,Long,8452
Facebook,Image,39,105960,8302,839,484,0.0908361645904114,Short,9625
Facebook,Image,73,15410,256,46,16,0.0206359506813757,Medium,318
Facebook,Video,103,163802,13967,727,1701,0.100090352987143,Long,16395
Facebook,Video,115,136737,5366,276,150,0.0423586885773419,Long,5792
Instagram,Image,82,173775,7256,598,758,0.0495583369299381,Long,8612
Instagram,Text,25,235083,6155,654,305,0.030261652267497,Short,7114
Facebook,Image,115,158244,13478,1285,939,0.0992265109577614,Long,15702
Twitter,Video,28,4684,217,37,4,0.0550811272416737,Short,258
Instagram,Text,21,287031,4131,633,238,0.0174266891032675,Short,5002
Facebook,Video,22,154898,15019,2638,634,0.1180841586075998,Short,18291
Instagram,Video,102,198360,6551,704,560,0.0393980641258318,Long,7815
Instagram,Text,16,205579,19377,2700,786,0.1112127211436965,Short,22863
Twitter,Video,20,129510,4806,611,618,0.0465987182456953,Short,6035
Facebook,Video,8,104261,8844,1071,1191,0.1065211344606324,Short,11106
Facebook,Video,93,59068,4121,384,535,0.0853253876887654,Long,5040
Twitter,Video,38,20113,1760,275,259,0.1140555859394421,Short,2294
Twitter,Video,96,44861,4389,564,609,0.1239829696172622,Long,5562
Facebook,Video,50,81487,7206,445,406,0.0988746671248174,Medium,8057
Facebook,Video,79,28617,1325,66,80,0.0514030121955481,Medium,1471
Twitter,Video,81,100330,8358,443,745,0.0951460181401375,Long,9546
Instagram,Video,35,227236,16826,1032,1178,0.0837719375451072,Short,19036
Instagram,Image,29,293394,4560,481,666,0.0194516588614627,Short,5707
Twitter,Image,107,5055,473,45,30,0.1084075173095944,Long,548
Instagram,Video,78,132615,6887,506,800,0.0617803415903178,Medium,8193
Twitter,Image,28,104255,2304,293,218,0.0270011030646012,Short,2815
Instagram,Text,69,241675,11669,2281,1684,0.0646901830971345,Medium,15634
Instagram,Image,29,94376,6066,449,708,0.0765342883784012,Short,7223
Facebook,Video,32,12933,796,69,47,0.0705172813732312,Short,912
Facebook,Video,40,34979,2159,257,98,0.0718716944452385,Medium,2514
Instagram,Image,86,50047,1652,241,216,0.0421403880352468,Long,2109
Instagram,Video,10,9137,611,85,84,0.0853671883550399,Short,780
Facebook,Text,70,14423,1322,169,169,0.1150939471677182,Medium,1660
Facebook,Text,71,92851,4176,670,483,0.0573930275387448,Medium,5329
Facebook,Video,114,37482,2502,442,154,0.082653006776586,Long,3098
Twitter,Text,76,177228,5663,1131,485,0.0410713882682194,Medium,7279
Instagram,Text,99,237723,3410,408,474,0.0180546266032314,Long,4292
Facebook,Image,52,37754,2367,471,88,0.0775017216718758,Medium,2926
Instagram,Text,87,28363,405,64,34,0.0177343722455311,Long,503
Twitter,Image,118,19085,1433,212,94,0.091118679591302,Long,1739
Twitter,Video,74,58889,4141,604,447,0.0881658713851483,Medium,5192
Facebook,Image,82,242022,10464,1952,1071,0.055726338927866,Long,13487
Twitter,Video,71,104090,4893,940,454,0.060399654145451,Medium,6287
Instagram,Video,52,84951,7866,603,443,0.1049075349319019,Medium,8912
Facebook,Video,69,131227,1467,181,59,0.0130079937817674,Medium,1707
Instagram,Video,48,122159,7414,1417,904,0.0796912220957931,Medium,9735
Instagram,Video,98,183124,17049,1829,2539,0.1169535396780323,Long,21417
Twitter,Image,67,88934,8204,696,344,0.1039422493084759,Medium,9244
Twitter,Video,50,34691,2172,142,64,0.0685480383961257,Medium,2378
Twitter,Text,23,56697,2512,350,293,0.0556466832460271,Short,3155
Twitter,Text,68,136116,2572,398,166,0.0230391724705398,Medium,3136
Twitter,Video,87,5883,150,11,7,0.0285568587455379,Long,168
Facebook,Text,77,34712,2470,373,218,0.0881827610048398,Medium,3061
Instagram,Image,75,220932,2540,469,273,0.0148552495790559,Medium,3282
Instagram,Image,114,118655,10621,919,509,0.1015465003581812,Long,12049
Instagram,Video,105,288689,18162,1240,2711,0.0765979999237934,Long,22113
Instagram,Video,54,285348,4012,703,251,0.0174033110447593,Medium,4966
Twitter,Video,67,25268,797,149,48,0.039338293493747,Medium,994
Instagram,Text,45,253562,16095,1323,1206,0.0734494916430695,Medium,18624
Facebook,Text,11,227979,3010,476,351,0.0168304975458265,Short,3837
Facebook,Image,13,87383,7008,971,935,0.1020106885778698,Short,8914
Instagram,Text,8,257982,23938,2055,1486,0.1065151832298377,Short,27479
Instagram,Image,93,242903,23442,4068,830,0.1166720872117676,Long,28340
Facebook,Text,53,209724,15945,1922,849,0.0892410978238065,Medium,18716
Facebook,Image,80,229733,20013,3103,619,0.1033155880957459,Long,23735
Twitter,Video,10,121755,7909,753,806,0.0777627202168288,Short,9468
Facebook,Text,86,99940,5123,883,595,0.0660496297778667,Long,6601
Twitter,Image,108,30436,2257,202,171,0.0864108292811144,Long,2630
Twitter,Text,25,137197,4140,433,595,0.0376684621383849,Short,5168
Twitter,Video,19,174606,3471,377,397,0.0243118793168619,Short,4245
Twitter,Image,71,100524,7897,639,547,0.0903565317735068,Medium,9083
Twitter,Text,70,88842,8549,1548,284,0.1168478872605299,Medium,10381
Instagram,Text,60,81369,5042,337,424,0.0713170863596701,Medium,5803
Facebook,Video,109,90533,4837,650,413,0.0651696066627638,Long,5900
Twitter,Video,108,35521,2063,355,188,0.0733650516595816,Long,2606
Facebook,Image,72,229556,12180,1670,1324,0.0661015177124536,Medium,15174
Facebook,Text,36,246251,12262,1214,666,0.0574292084093059,Short,14142
Twitter,Text,70,140560,13385,2238,272,0.1130833807626636,Medium,15895
Instagram,Video,114,47448,2523,315,317,0.0664938458944528,Long,3155
Twitter,Video,33,9938,171,12,21,0.0205272690682229,Short,204
Instagram,Image,70,187185,14768,1440,2045,0.0975131554344632,Medium,18253
Facebook,Text,38,107262,4852,673,708,0.0581100482929648,Short,6233
Instagram,Text,31,188707,13957,2077,567,0.0879723592659519,Short,16601
Instagram,Image,64,208243,12944,1711,854,0.0744754925735799,Medium,15509
Instagram,Image,43,210237,15596,1416,2038,0.0906120235733957,Medium,19050
Facebook,Video,48,191894,2989,415,422,0.019938090820974,Medium,3826
Facebook,Video,106,52934,690,68,15,0.0146030906411758,Long,773
Instagram,Image,86,288631,12719,1065,895,0.050857323017971,Long,14679
Instagram,Image,40,189391,13709,2629,476,0.0887792978547027,Medium,16814
Twitter,Text,23,14869,448,43,54,0.0366534400430425,Short,545
Instagram,Image,95,250979,12299,1234,1440,0.0596583777925643,Long,14973
Twitter,Image,49,173869,17086,3152,2017,0.1279986656620789,Medium,22255
Instagram,Text,88,192370,5643,402,399,0.0334979466652804,Long,6444
Twitter,Image,25,116576,10062,1385,732,0.1044726187208344,Short,12179
Facebook,Video,27,85209,7182,1203,388,0.1029586076588153,Short,8773
Instagram,Video,98,87299,7876,717,527,0.1044685506134091,Long,9120
Instagram,Text,93,49933,4611,814,681,0.1222838603728996,Long,6106
Instagram,Image,99,81579,4540,751,118,0.0663038281910785,Long,5409
Instagram,Video,31,145642,10395,1277,645,0.0845703849164389,Short,12317
Twitter,Video,102,139958,9195,623,1128,0.0782091770388259,Long,10946
Instagram,Video,76,95177,3598,703,250,0.0478161740756695,Medium,4551
Facebook,Video,23,70719,2487,357,356,0.0452495086186173,Short,3200
Facebook,Image,45,97606,3976,507,251,0.0485011167346269,Medium,4734
Instagram,Image,30,34018,1009,184,131,0.038920571462167,Short,1324
Facebook,Image,32,88839,6944,786,874,0.0968493567014486,Short,8604
Instagram,Image,68,158658,15359,2066,325,0.1118758587653947,Medium,17750
Instagram,Video,72,7566,666,119,48,0.1100978059740946,Medium,833
Facebook,Text,99,242471,7180,782,405,0.0345072194200543,Long,8367
Instagram,Text,84,81489,1195,198,98,0.0182969480543386,Long,1491
Facebook,Video,55,68355,5341,472,428,0.0913027576622046,Medium,6241
Twitter,Video,78,164768,7434,1154,1023,0.0583305010681685,Medium,9611
Instagram,Text,106,77940,6563,830,287,0.098537336412625,Long,7680
Twitter,Text,52,128731,10315,770,450,0.0896054563391879,Medium,11535
Facebook,Video,14,101382,6720,473,228,0.0731983981377364,Short,7421
Twitter,Video,113,173807,5732,680,665,0.0407175775429067,Long,7077
Twitter,Image,77,125865,2437,381,339,0.0250824295872561,Medium,3157
Facebook,Image,43,184709,6047,849,410,0.0395541094370063,Medium,7306
Twitter,Text,104,24129,1348,240,37,0.0673463467197148,Long,1625
Twitter,Video,119,32845,3223,349,129,0.1126807733292738,Long,3701
Facebook,Text,104,82449,1297,228,43,0.0190178170747977,Long,1568
Twitter,Image,23,199572,5589,310,542,0.0322740665023149,Short,6441
Facebook,Image,68,13739,913,95,51,0.0770798456947376,Medium,1059
Twitter,Text,23,191244,7151,435,977,0.0447752609232185,Short,8563
Facebook,Image,80,136745,11933,2242,490,0.107243409265421,Long,14665
Facebook,Video,66,237669,5358,649,755,0.0284513335773702,Medium,6762
Twitter,Text,17,33171,3207,312,202,0.1121762985740556,Short,3721
Twitter,Video,29,91179,8398,1040,1114,0.1157284023733535,Short,10552
Twitter,Video,104,102022,9169,1191,1314,0.1144263002097586,Long,11674
Instagram,Image,93,146696,3751,663,556,0.0338795877188198,Long,4970
Instagram,Video,96,113906,4516,593,562,0.0497866661984443,Long,5671
Instagram,Text,46,57930,4771,547,158,0.0945278784740203,Medium,5476
Facebook,Video,43,168680,13950,2709,379,0.1010078254683424,Medium,17038
Twitter,Video,34,51649,3794,740,440,0.0963038974617127,Short,4974
Facebook,Video,9,216528,10896,607,1488,0.0599968595285598,Short,12991
Instagram,Video,85,68503,2606,406,108,0.0455454505642088,Long,3120
Twitter,Video,22,175196,16935,1791,2410,0.1206420237904975,Short,21136
Facebook,Image,111,119659,2696,407,267,0.0281633642266774,Long,3370
Twitter,Text,115,98875,1378,200,49,0.0164551201011378,Long,1627
Facebook,Image,25,141659,1532,152,63,0.0123324321080905,Short,1747
Twitter,Text,90,136599,10894,2156,311,0.0978118434249152,Long,13361
Instagram,Text,107,169139,2554,264,98,0.0172402580126404,Long,2916
Instagram,Text,54,56538,3306,478,380,0.0736495808129046,Medium,4164
Twitter,Text,10,39455,1698,292,82,0.0525155240147002,Short,2072
Facebook,Text,54,236547,5493,394,510,0.0270432514468583,Medium,6397
